date,gross_reserves_usd_m,fx_reserves_usd_m,imf_position_usd_m,sdrs_usd_m,gold_usd_m,predetermined_short_term_net_drains_usd_m,fx_forward_short_positions_usd_m,exports_usd_m,imports_usd_m,tourism_earnings_usd_m,remittances_usd_m,usd_lkr,services_inflows_usd_m,services_outflows_usd_m,services_balance_usd_m,reserve_money_rs_m,m2_rs_m,m2b_rs_m,nfa_monetary_authorities_rs_m,nfa_commercial_banks_rs_m,m2b_nfa_rs_m,neer_index,reer_index,current_account_usd_m,current_account_plus_capital_usd_m,gross_external_debt_market_usd_m,short_term_external_debt_market_usd_m,long_term_external_debt_market_usd_m,banking_sector_external_liabilities_market_usd_m,gross_external_debt_face_usd_m,gross_external_debt_face_pct_gdp,central_bank_external_swap_liabilities_usd_m,external_debt_service_payments_usd_m,external_debt_service_amortization_usd_m,external_debt_service_interest_usd_m,debt_service_to_exports_services_pct,debt_service_to_external_receipts_pct,imports_trailing_3m_avg_usd_m,import_cover_months,reserve_net_drains_usd_m,adjusted_usable_reserves_usd_m,adjusted_usable_reserve_cover_months,trade_balance_usd_m,buffer_inflows_usd_m,buffer_inflows_share_imports,underlying_balance_official_usd_m,goods_services_remittances_balance_usd_m,trade_tourism_remittances_balance_usd_m,current_account_pressure_official_raw,balance_pressure_services_raw,balance_pressure_inflows_raw,balance_pressure_trade_raw,balance_pressure_services_calibrated_raw,balance_pressure_inflows_calibrated_raw,balance_pressure_trade_calibrated_raw,current_account_pressure_raw,current_account_filled_usd_m,current_account_pressure_source,current_account_pressure_quality,reserve_block_raw,usd_lkr_depreciation_raw,neer_depreciation_raw,reserve_change_pressure_raw,fx_market_pressure_raw,external_balance_pressure_user_raw,external_balance_pressure_adjusted_raw,buffer_inflow_support_raw,short_term_external_debt_to_reserves_raw,external_debt_to_reserves_raw,debt_service_to_external_receipts_raw,gross_reserves_lkr_m,adjusted_usable_reserves_lkr_m,m2b_to_adjusted_reserves_raw,m2b_nfa_deterioration_raw,reserve_block_z,usd_lkr_depreciation_z,neer_depreciation_z,reserve_change_pressure_z,current_account_pressure_official_z,balance_pressure_services_z,balance_pressure_inflows_z,balance_pressure_trade_z,balance_pressure_services_calibrated_z,balance_pressure_inflows_calibrated_z,balance_pressure_trade_calibrated_z,external_balance_pressure_user_z,external_balance_pressure_adjusted_z,buffer_inflow_support_z,current_account_pressure_z,short_term_external_debt_to_reserves_z,debt_service_to_external_receipts_z,m2b_to_adjusted_reserves_z,m2b_nfa_deterioration_z,fx_market_pressure_z,external_financing_pressure_z,resident_fx_liability_pressure_z,slepi_user_spec,slepi_legacy_adjusted,slepi_adjusted
1995-12-01,,,,,,,,,,,,,,,,78587.0,228536.0,259441.65449355,73662.0,-8917.0,64745.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-01-01,,,,,,,,,,,,,,,,77071.0,228090.0,260481.0,76259.0,-9030.0,67229.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,-0.009536204176120331,,,,,,,,,,,,,,,,,,,,,,,,,
1996-02-01,,,,,,,,,,,,,,,,79586.0,234199.0,269496.0,79977.0,-9413.0,70564.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,-0.012374951761807225,,,,,,,,,,,,,,,,,,,,,,,,,
1996-03-01,,,,,,,,,,,,,,,,82915.0,239178.0,272552.0,80825.0,-11637.0,69188.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,0.0050485778860547715,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-01,,,,,,,,,,,,,,,,80873.0,241893.0,278425.0,79963.0,-8751.0,71212.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,-0.007269462153183083,,,,,,,,,,,,,,,,,,,,,,,,,
1996-05-01,,,,,,,,,,,,,,,,83410.0,242072.0,277365.0,76144.0,-8947.0,67197.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,0.014475510608764624,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-01,,,,,,,,,,,,,,,,79834.0,240407.0,272313.0,72268.0,-6661.0,65607.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,0.005838869242379174,,,,,,,,,,,,,,,,,,,,,,,,,
1996-07-01,,,,,,,,,,,,,,,,80732.0,240083.0,271915.0,73000.0,-6308.0,66692.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,-0.0039902175312137985,,,,,,,,,,,,,,,,,,,,,,,,,
1996-08-01,,,,,,,,,,,,,,,,81756.0,240097.0,272932.0,74930.0,-4428.0,70502.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,-0.013959521052862984,,,,,,,,,,,,,,,,,,,,,,,,,
1996-09-01,,,,,,,,,,,,,,,,81614.0,241700.0,275074.0,73974.0,-9574.0,64400.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,0.022183121632724286,,,,,,,,,,,,,,,,,,,,,,,,,
1996-10-01,,,,,,,,,,,,,,,,77209.0,242845.0,275751.0,73142.0,-9539.0,63603.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,missing,0.0,,,,,,,,,,,,,,,0.0028902887024888396,,,,,,,,,,,,,,,,,,,,,,,,,
